feature,importance,category,importance_pct
home_rushing_yards_per_game,0.010470949,Team Stats,1.05
home_total_injuries,0.010416659,Other,1.04
away_rushing_yards_per_game,0.010369573,Team Stats,1.04
home_passing_yards_per_game,0.010333281,Team Stats,1.03
away_off_yards_per_play,0.010318689,Other,1.03
away_off_red_zone_plays,0.010303843,Other,1.03
home_off_success_on_road,0.010103656,PBP (EPA),1.01
away_def_yards_per_play,0.010068058,Other,1.01
away_off_epa_per_play,0.009882745,PBP (EPA),0.99
home_off_success_at_home,0.009859302,PBP (EPA),0.99
away_epa_trend,0.009832081,PBP (EPA),0.98
home_total_injury_impact,0.009801447,Injury,0.98
away_players_questionable,0.009786604,Other,0.98
away_passing_yards_per_game,0.009745837,Team Stats,0.97
away_off_explosive_play_rate,0.009739111,PBP (EPA),0.97
away_players_out,0.009731571,Other,0.97
home_off_yards_per_play,0.009699975,Other,0.97
away_off_injury_impact,0.009546988,Injury,0.95
away_total_injuries,0.009484925,Other,0.95
home_off_injury_impact,0.009471863,Injury,0.95
home_off_3rd_down_conv_rate,0.00944101,Other,0.94
away_penalties_per_game,0.009440291,Team Stats,0.94
home_def_epa_per_play,0.009397016,PBP (EPA),0.94
home_off_pass_rate,0.009395048,Other,0.94
home_rushing_tds_per_game,0.009262742,Team Stats,0.93
away_off_pass_rate,0.009246949,Other,0.92
home_off_run_rate,0.0092336545,Other,0.92
home_losses,0.009090131,Record,0.91
home_passing_tds_per_game,0.00902747,Team Stats,0.9
home_off_red_zone_plays,0.009009898,Other,0.9
away_win_pct,0.008904601,Record,0.89
home_players_out,0.0088746995,Other,0.89
home_def_yards_per_play,0.008870804,Other,0.89
away_rushing_tds_per_game,0.008811256,Team Stats,0.88
home_off_epa_at_home,0.00872547,PBP (EPA),0.87
home_epa_trend,0.0086257765,PBP (EPA),0.86
home_penalties_per_game,0.00857573,Team Stats,0.86
away_off_success_at_home,0.008403346,PBP (EPA),0.84
home_off_red_zone_td_rate,0.0083695045,Other,0.84
away_off_turnover_rate,0.008233687,Other,0.82
home_top_cb_out,0.008182618,Injury,0.82
home_players_doubtful,0.00802802,Other,0.8
away_def_turnover_rate,0.008025765,Other,0.8
away_premium_injuries,0.007839872,Other,0.78
home_def_success_rate,0.007809577,PBP (EPA),0.78
away_wins,0.0065627666,Record,0.66
week,0.0046729604,Context,0.47
away_top_wr_out,0.0034793098,Injury,0.35
away_top_cb_out,0.00040450113,Injury,0.04
home_rest_days,0.0,Rest Days,0.0
home_multiple_ol_out,0.0,Other,0.0
away_players_doubtful,0.0,Other,0.0
home_avg_time_to_los,0.0,Other,0.0
home_sacks_taken_per_game,0.0,Team Stats,0.0
home_interceptions_per_game,0.0,Other,0.0
away_avg_time_to_throw,0.0,Next Gen Stats,0.0
away_avg_completed_air_yards,0.0,Next Gen Stats,0.0
away_avg_air_yards_diff,0.0,Next Gen Stats,0.0
away_pass_aggressiveness,0.0,Next Gen Stats,0.0
home_rush_attempts,0.0,Other,0.0
away_avg_time_to_los,0.0,Other,0.0
away_rush_attempts,0.0,Other,0.0
away_interceptions_per_game,0.0,Other,0.0
away_multiple_ol_out,0.0,Other,0.0
away_sacks_taken_per_game,0.0,Team Stats,0.0
home_avg_rush_yards_ngs,0.0,Next Gen Stats,0.0
home_lt_out,0.0,Injury,0.0
home_pass_aggressiveness,0.0,Next Gen Stats,0.0
home_avg_air_yards_diff,0.0,Next Gen Stats,0.0
home_avg_completed_air_yards,0.0,Next Gen Stats,0.0
home_avg_time_to_throw,0.0,Next Gen Stats,0.0
away_qb_out,0.0,Injury,0.0
away_lt_out,0.0,Injury,0.0
away_avg_rush_yards_ngs,0.0,Next Gen Stats,0.0
